GACC	State	Group	Site	Date	Fuel	Percent	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2009-08-21	Chamise	74	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2009-08-07	Chamise	80	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2009-07-24	Chamise	66	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2009-06-26	Chamise	88	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2009-05-15	Chamise	102	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2009-05-01	Chamise	116	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2009-04-17	Chamise	132	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2009-04-03	Chamise	142	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2009-03-20	Chamise	107	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2009-03-06	Chamise	107	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2009-02-20	Chamise	100	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2009-02-06	Chamise	84	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2009-01-23	Chamise	83	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2009-01-09	Chamise	76	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2008-12-05	Chamise	75	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2008-11-14	Chamise	68	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2008-10-31	Chamise	69	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2008-10-03	Chamise	73	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2008-09-19	Chamise	63	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2008-09-05	Chamise	69	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2008-08-22	Chamise	66	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2008-08-08	Chamise	67	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2008-07-24	Chamise	77	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2008-06-27	Chamise	90	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2008-06-13	Chamise	92	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2008-05-30	Chamise	92	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2008-05-16	Chamise	92	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2008-05-02	Chamise	101	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2008-04-18	Chamise	100	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2008-04-04	Chamise	99	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2008-03-14	Chamise	132	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2008-02-29	Chamise	138	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2008-02-15	Chamise	119	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2008-02-01	Chamise	102	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2008-01-11	Chamise	80	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2007-12-28	Chamise	77	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2007-12-14	Chamise	78	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2007-11-30	Chamise	67	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2007-11-16	Chamise	67	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2007-11-02	Chamise	60	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2007-10-18	Chamise	60	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2007-10-05	Chamise	60	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2007-09-20	Chamise	54	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2007-09-07	Chamise	55	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2007-08-23	Chamise	53	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2007-08-10	Chamise	57	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2007-07-27	Chamise	54	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2007-07-13	Chamise	51	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2007-06-29	Chamise	51	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2007-06-08	Chamise	57	
